"arm","probability","CRP","lower_100","median_100","upper_100","lower_all","median_all","upper_all","change_lower","change_median","change_upper"
"flexible",0.687993710691824,47.6740487935412,3.16121990255111,3.28011703963777,3.40273937750817,3.15661537881501,3.28315124505416,3.39788647369662,-0.00460452373610165,0.00303420541639632,-0.00485290381154968
"flexible",0.694213836477988,48.2447490892452,3.17093725556086,3.29107601070764,3.41433508484821,3.16719628014726,3.29370138211051,3.40874073001495,-0.00374097541359752,0.00262537140286945,-0.00559435483325643
"flexible",0.700433962264151,48.8251457533543,3.18077318544951,3.3022231002962,3.42607572878067,3.17790889024064,3.30451989023117,3.41972823468051,-0.00286429520886511,0.00229678993496485,-0.00634749410016333
"flexible",0.706654088050314,49.4156598980085,3.19073343461559,3.3135138148135,3.43796828162116,3.18875955152494,3.31583416462076,3.43085542869369,-0.00197388309064461,0.00232034980726681,-0.00711285292746933
"flexible",0.712874213836478,50.0167389553037,3.20082408051761,3.32495513997358,3.4500201249808,3.19975497835641,3.32731298438656,3.44212912944329,-0.00106910216119838,0.00235784441297948,-0.00789099553750727
"flexible",0.719094339622642,50.6288589815856,3.2110313987766,3.33655448263958,3.46223908594931,3.21050904277989,3.33851623033209,3.45560213593364,-0.000522355996709578,0.00196174769251023,-0.00663695001567088
"flexible",0.725314465408805,51.252527217782,3.22129861798346,3.34839326996948,3.47463347723793,3.21978888904457,3.34983730921086,3.46972652156031,-0.00150972893888524,0.00144403924138858,-0.00490695567761756
"flexible",0.731534591194969,51.8882849408456,3.23171495186754,3.36027443829528,3.48721214182264,3.22920038905285,3.36078589591172,3.48406890083725,-0.00251456281468876,0.000511457616436228,-0.00314324098539398
"flexible",0.737754716981132,52.5367106471122,3.24228805775764,3.37127638439539,3.49998450271641,3.23875033347144,3.37337057877448,3.49864035442691,-0.00353772428619381,0.00209419437908798,-0.00134414828949403
"flexible",0.743974842767296,53.1984236152126,3.25302610691968,3.38265335979519,3.51296061860348,3.24844596639135,3.38599479787413,3.51345271651662,-0.00458014052832834,0.00334143807894005,0.000492097913136202
"flexible",0.750194968553459,53.8740879043488,3.2639378349286,3.39421464277496,3.52642933591548,3.25829502973326,3.39861659406689,3.52851864884295,-0.0056428051953441,0.00440195129193155,0.00208931292747039
"flexible",0.756415094339623,54.5644168535636,3.27503259827286,3.40634539256953,3.54057865212526,3.26831214524509,3.41145487992299,3.54385172391737,-0.00672045302776691,0.00510948735345274,0.00327307179210257
"flexible",0.762635220125786,55.2701781594787,3.28632043814964,3.4192169469247,3.55498197880442,3.27850267689309,3.42551097610308,3.5594665188715,-0.00781776125655709,0.00629402917837929,0.0044845400670801
"flexible",0.76885534591195,55.9921996243264,3.29781215258546,3.43258074646166,3.5696534836454,3.28887359074676,3.43870060772158,3.57466507635973,-0.00893856183869834,0.00611986125992159,0.00501159271432394
"flexible",0.775075471698113,56.7313756835846,3.30951937823112,3.44620004486162,3.58460844129828,3.29943519898854,3.45109597340733,3.58966606104321,-0.0100841792425732,0.00489592854571441,0.00505761974493035
"flexible",0.781295597484277,57.4886748439084,3.3214546834429,3.46008972614437,3.59986335647529,3.31019863626968,3.46417995835835,3.60496898093641,-0.0112560471732142,0.0040902322139873,0.00510562446112495
"flexible",0.78751572327044,58.2651481883734,3.33363167458388,3.4742659080083,3.61543610458072,3.32117595342238,3.47797370185799,3.62059182678548,-0.0124557211614906,0.00370779384968856,0.00515572220475402
"flexible",0.793735849056604,59.0619391385962,3.34606511787837,3.48812970401078,3.631346092964,3.33238022486206,3.49223658803323,3.63655413212495,-0.0136848930163098,0.00410688402244563,0.00520803916094392
"flexible",0.799955974842767,59.8802947038101,3.35877107964781,3.50229081791467,3.6476144465528,3.34382567216632,3.50606527441766,3.65287716027225,-0.0149454074814859,0.00377445650299713,0.00526271371944986
"flexible",0.806176100628931,60.721578497699,3.37176708837636,3.51657049272091,3.66426422244781,3.35552780686197,3.51997167287162,3.66955248719123,-0.0162392815143928,0.00340118015071544,0.0052882647434247
"flexible",0.812396226415094,61.5872858677184,3.38507232283529,3.53122542436379,3.68132065909942,3.36750359613668,3.53500237616056,3.68663368548505,-0.0175687266986086,0.00377695179677762,0.00531302638562581
"flexible",0.818616352201258,62.47906156277,3.39870783148426,3.54634769204477,3.69881146700383,3.37977165606072,3.55073601473524,3.70474348592959,-0.0189361754235309,0.00438832269046374,0.00593201892575612
"flexible",0.824836477987421,63.3987204688299,3.41269678963216,3.56186495661912,3.71676716953859,3.3923524780138,3.56651797396667,3.72347646312264,-0.0203443116183597,0.00465301734755252,0.00670929358404759
"flexible",0.831056603773585,64.3482720758053,3.42706480246651,3.57745821886804,3.73522150472486,3.40526869543955,3.58211401386875,3.74273405214826,-0.0217961070269554,0.00465579500070756,0.00751254742340768
"flexible",0.837276729559749,65.3299495126019,3.4418402641725,3.59349164032903,3.75421190151663,3.41854539990363,3.59815458113646,3.76255566313816,-0.0232948642688671,0.00466294080743568,0.00834376162153028
"flexible",0.843496855345912,66.3462442151501,3.45705478612859,3.61000396199331,3.7737800479035,3.43221051785731,3.61467417715351,3.7829851973157,-0.0248442682712824,0.00467021516019628,0.00920514941219297
"flexible",0.849716981132075,67.3999475936485,3.47274371082241,3.62718179724662,3.79397257298848,3.44629526271615,3.63226889781548,3.80407176687834,-0.0264484481062599,0.00508710056885153,0.0100991938898622
"flexible",0.855937106918239,68.4942014685806,3.48894673301675,3.64529131032893,3.81484187171819,3.4608346811476,3.65109716597544,3.82587056555242,-0.0281120518691451,0.00580585564651281,0.0110286938342368
"flexible",0.862157232704403,69.6325595904959,3.50570865629464,3.66371616837105,3.83644710974657,3.47586831824655,3.6691448283282,3.84844392943312,-0.0298403380480914,0.00542865995715003,0.0119968196865434
"flexible",0.868377358490566,70.8190633051435,3.52308032213475,3.68281438738589,3.85885545795345,3.49144103418549,3.68599897833314,3.8718626404545,-0.0316392879492642,0.0031845909472592,0.0130071825010529
