"arm","probability","CRP","lower","median","upper"
"truth",0.607132075471698,40.982840984109,3.16117499205795,3.16117499205795,3.16117499205795
"flexible",0.613352201257862,41.4568977367191,3.05777801902593,3.15982106892427,3.27113270764462
"gaussian",0.613352201257862,41.4568977367191,2.94408039747134,3.02596641574015,3.12820909501791
"truth",0.613352201257862,41.4568977367191,3.17105756739374,3.17105756739374,3.17105756739374
"flexible",0.619572327044025,41.9368425562488,3.06569726668277,3.16867932570082,3.28240600234103
"gaussian",0.619572327044025,41.9368425562488,2.95225478460659,3.03588267567852,3.13742508095921
"truth",0.619572327044025,41.9368425562488,3.18101763687093,3.18101763687093,3.18101763687093
"flexible",0.625792452830189,42.422888764355,3.07367686630645,3.17746445282834,3.29366967172883
"gaussian",0.625792452830189,42.422888764355,2.96055626981159,3.04629784579955,3.14678591317544
"truth",0.625792452830189,42.422888764355,3.19105885891699,3.19105885891699,3.19105885891699
"flexible",0.632012578616352,42.9152597203184,3.08171975222946,3.18677812594094,3.30406476295467
"gaussian",0.632012578616352,42.9152597203184,2.96898962980128,3.05683573522642,3.15629704683786
"truth",0.632012578616352,42.9152597203184,3.20118503758464,3.20118503758464,3.20118503758464
"flexible",0.638232704402516,43.4141895203672,3.08982897651597,3.19592126623143,3.31455090540781
"gaussian",0.638232704402516,43.4141895203672,2.97755988656576,3.06740651154166,3.16596421822666
"truth",0.638232704402516,43.4141895203672,3.21140013356681,3.21140013356681,3.21140013356681
"flexible",0.644452830188679,43.9199237564116,3.09800771799814,3.20613503227168,3.32513233299935
"gaussian",0.644452830188679,43.9199237564116,2.98627232510765,3.07815922286636,3.17589815854663
"truth",0.644452830188679,43.9199237564116,3.22170827609428,3.22170827609428,3.22170827609428
